question,answer,category,time,difficulty
"**Fruit Fly Thorax Length (Confidence Interval):** The thorax length (in mm) was measured for a random sample of 49 male fruit flies. The mean was 0.8004 mm with a standard deviation of 0.0782 mm. Construct and interpret a 90% confidence interval for the true mean thorax length.","The 90% confidence interval is approximately (0.782, 0.819). df = 48. t* for 90% is approximately 1.677 (using df=48). Margin of error = 1.677 * (0.0782 / sqrt(49)) ≈ 0.0187. We are 90% confident that the interval from 0.782 mm to 0.819 mm captures the true mean thorax length of a male fruit fly.","Statistics (t-intervals)",720,"Medium"
"**Pepperoni Pizza (Confidence Interval and Evaluation):** Melissa and Madeline counted pepperonis on 10 randomly selected large pizzas: 47, 36, 25, 37, 46, 36, 49, 32, 32, 34. a. Construct and interpret a 95% confidence interval for the true mean number of pepperonis. b. Explain why checking the Normal/Large sample condition required inspecting the sample data. c. The manager claims there should be 40 pepperonis. Based on the interval, is there convincing evidence the average is *less* than 40?","a.  First calculate the sample mean (x̄ = 37.4) and sample standard deviation (s = 7.49). The 95% confidence interval is approximately (32.1, 42.7). df = 9. t* for 95% is 2.262.  Margin of error = 2.262 * (7.49/sqrt(10)) ≈ 5.34. We are 95% confident the interval from 32.1 to 42.7 captures the true mean number of pepperonis. b. Because the sample size is small (n=10), we cannot rely on the Central Limit Theorem. We need to inspect the sample data (e.g., with a dotplot or boxplot) to assess if it's reasonable to assume the *population* might be approximately Normal. c. No, the confidence interval *includes* 40 as a plausible value for the true mean.  Therefore, there isn't convincing evidence that the average is *less* than 40.","Statistics (t-intervals)",1200,"Medium"
"**Goldfish Crackers (Confidence Interval and Evaluation):** Carly and Maysem counted goldfish crackers in 12 randomly selected bags: 317, 330, 325, 323, 332, 337, 324, 342, 330, 349, 335, 333. a. Construct and interpret a 95% confidence interval for the true mean number of crackers per bag. b. Explain the necessity of inspecting the sample data. c. The packaging claims 330 crackers per bag. Is there evidence the average is *less* than 330, based on the interval?","a. First, calculate the sample mean (x̄ = 331.42) and the sample standard deviation (s = 8.69). The 95% confidence interval is approximately (325.8, 337.0). df = 11. t* for 95% is 2.201. Margin of error: 2.201*(8.69/sqrt(12)) ≈ 5.54. We are 95% confident that the interval captures the true mean. b. With a small sample size (n=12), we must check the sample data (e.g., dotplot) for strong skewness or outliers to assess the plausibility of a Normal population. c. No, the interval *includes* 330, so there isn't convincing evidence that the true mean is less than 330.","Statistics (t-intervals)",1200,"Medium"
"**Estimating BMI (Sample Size):** The BMI of American young women is believed to follow a Normal distribution with a standard deviation of about 7.5. How large a sample is needed to estimate the mean BMI to within ±1 with 99% confidence?","A sample size of 373 is needed.  z* for 99% is 2.576.  n = (z* * σ / m)^2 = (2.576 * 7.5 / 1)^2 ≈ 372.6. Round *up* to 373.","Statistics (Sample Size)",480,"Medium"
"**SAT Score Increase (Sample Size):** The increase in SAT Math scores when retaking the exam has a standard deviation of about 50 points. How large a sample is needed to estimate the mean change in score to within 2 points with 95% confidence?","A sample size of 2401 is needed. z* for 95% is 1.96. n = (z* * σ / m)^2 = (1.96 * 50 / 2)^2 = 2401.","Statistics (Sample Size)",480,"Medium"
"**No Homework?** Mr. Tabor believes less than 75% of students at his school completed their math homework. He asks the math teachers to inspect a random sample of 50 assignments. State the appropriate null and alternative hypotheses, defining the parameter of interest.","H0: p = 0.75, Ha: p < 0.75, where p is the true proportion of *all* students at the school who completed their math homework last night.","Statistics (Hypothesis Tests)",300,"Easy"
"**Don't Argue!** A Gallup poll reports 72% of teens say they rarely/never argue with friends. Yvonne surveys a random sample of 150 students at her large high school. State appropriate hypotheses for testing if Yvonne's school differs from the Gallup poll result, defining the parameter.","H0: p = 0.72, Ha: p ≠ 0.72, where p is the true proportion of *all* students at Yvonne's high school who would say they rarely or never argue with friends.","Statistics (Hypothesis Tests)",300,"Easy"
"**How Much Juice?** A company's grapefruit juice bottles are filled by a machine set to dispense 180 ml. A quality-control inspector takes a random sample of 40 bottles. State appropriate hypotheses for testing if the machine is working properly, defining the parameter.","H0: μ = 180, Ha: μ ≠ 180, where μ is the true *mean* amount of liquid (in ml) dispensed into *all* bottles filled by this machine.","Statistics (Hypothesis Tests)",300,"Easy"
"**Attitudes (SSHA):** The Survey of Study Habits and Attitudes (SSHA) measures students' attitudes. Scores range from 0 to 200, with a mean of 115 for U.S. college students. A teacher suspects older students have better attitudes. She gives the SSHA to an SRS of 45 students at her college who are at least 30 years old. State appropriate hypotheses, defining the parameter.","H0: μ = 115, Ha: μ > 115, where μ is the true *mean* SSHA score for *all* students at this college who are at least 30 years old.","Statistics (Hypothesis Tests)",300,"Easy"
"**Cold Cabin?** Mrs. Starnes sets her thermostat to 50°F, but suspects the actual temperature varies more than the claimed σ = 3°F. State the appropriate hypotheses for testing her suspicion, defining the parameter.","H0: σ = 3, Ha: σ > 3, where σ is the true *standard deviation* of the temperature (in °F) in Mrs. Starnes's cabin. (Note: This is a test about a standard deviation, which is less common).","Statistics (Hypothesis Tests)",300,"Easy"
"**Ski Jump:** Event organizers estimate the variation in ski jump distances will be σ = 10 meters. An experienced jumper thinks the organizers are *under*estimating the variation. State appropriate hypotheses, defining the parameter.","H0: σ = 10, Ha: σ > 10, where σ is the true *standard deviation* of the distances flown (in meters) by ski jumpers in this competition.","Statistics (Hypothesis Tests)",300,"Easy"
"**Stating Hypotheses (Error Correction):** a. A change should improve student satisfaction with parking. Before, 37% approved.  The stated hypotheses are: H0: p > 0.37, Ha: p = 0.37. Correct these. b. A researcher suspects mean birth weight is less than 3000g for mothers without prenatal care. Stated hypotheses: H0: x̄ = 3000g, Ha: x̄ < 3000g. Correct these.","a. The null hypothesis should be a statement of 'no change': H0: p = 0.37. The alternative should reflect the expected improvement: Ha: p > 0.37. 'p' represents the *population* proportion. b. Hypotheses should be about the *population mean* (μ), not the sample mean (x̄).  Corrected: H0: μ = 3000g, Ha: μ < 3000g.","Statistics (Hypothesis Tests)",600,"Medium"
"**Stating Hypotheses (Error Correction) - II:** a.  A change should improve parking satisfaction (previously 37%).  Hypotheses: H0: p̂ = 0.37, Ha: p̂ > 0.37. Correct these. b. Suspect mean birth weight < 3000g for mothers w/o prenatal care. Hypotheses: H0: μ = 3000g, Ha: μ ≤ 2999g. Correct these.","a. Hypotheses should be about the *population proportion* (p), not the sample proportion (p̂). Corrected: H0: p = 0.37, Ha: p > 0.37. b. The alternative hypothesis should be a strict inequality, not 'less than or equal to'. Corrected: H0: μ = 3000g, Ha: μ < 3000g.","Statistics (Hypothesis Tests)",600,"Medium"
"**No Homework? (P-value Interpretation):** Refer to question 1. In a sample of 50 students, 68% completed their homework. A significance test yields a P-value of 0.1265. a. Explain what it would mean for the null hypothesis to be true in this setting. b. Interpret the P-value.","a. If the null hypothesis were true, it would mean that the true proportion of *all* students at the school who completed their math homework is 0.75 (75%). b. The P-value of 0.1265 means that if the true proportion of students who completed their homework was 0.75, there is a 0.1265 probability of observing a sample proportion of 0.68 *or less* purely by chance.","Statistics (Hypothesis Tests)",600,"Medium"
"**Attitudes (P-value Interpretation):** Refer to question 4. The sample mean SSHA score was 125.7, with a standard deviation of 29.8. A significance test yields a P-value of 0.0101. a. Explain what it would mean for the null hypothesis to be true. b. Interpret the P-value.","a. If the null hypothesis were true, the true mean SSHA score for *all* students at this college who are at least 30 years old would be 115. b. The P-value of 0.0101 means that if the true mean SSHA score for older students was 115, there is a 0.0101 probability of observing a sample mean of 125.7 *or greater* purely by chance.","Statistics (Hypothesis Tests)",600,"Medium"
"**How Much Juice? (P-value Interpretation):** Refer to question 3. The mean liquid volume in the sample of 40 bottles was 179.6 ml, with a standard deviation of 1.3 ml. A significance test yields a P-value of 0.0589. Interpret the P-value.","The P-value of 0.0589 means that if the true mean amount of liquid dispensed by the machine was 180 ml, there is a 0.0589 probability of observing a sample mean of 179.6 ml *or more extreme (in either direction)* purely by chance.","Statistics (Hypothesis Tests)",480,"Medium"
"**Don't Argue (P-value Interpretation):** Refer to question 2. Yvonne found that 96 of 150 students (64%) said they rarely/never argue with friends. A significance test yields a P-value of 0.0291. Interpret the P-value.","The P-value of 0.0291 means that if the true proportion of students at Yvonne's school who rarely/never argue with friends was 0.72, there is a 0.0291 probability of observing a sample proportion of 0.64 *or less (or a value equally or more extreme in the other direction)* purely by chance.","Statistics (Hypothesis Tests)",480,"Medium"
"**Interpreting a P-value (Error Correction):** A student tests H0: μ = 100 vs. Ha: μ > 100 and gets P-value = 0.044. The student says, 'There's a 0.044 probability of getting the sample result I did by chance alone.' Explain the error.","The student's statement is almost correct, but incomplete. The P-value is the probability of getting a sample result *as extreme as, or more extreme than,* the one observed, *assuming the null hypothesis is true*.  It's not just the probability of the *exact* result.","Statistics (Hypothesis Tests)",480,"Medium"
"**Interpreting a P-value (Error Correction) - II:** A student tests H0: p = 0.3 vs. Ha: p < 0.3 and gets P-value = 0.22. The student says, 'This means there's about a 22% chance that the null hypothesis is true.' Explain the error.","The P-value is *not* the probability that the null hypothesis is true. It's the probability of observing a sample result as extreme as, or more extreme than, the one obtained, *assuming the null hypothesis is true*. We don't assign probabilities to hypotheses in frequentist statistics.","Statistics (Hypothesis Tests)",480,"Medium"
"**No Homework? (Conclusion):** Refer to questions 1 and 9. What conclusion would you make at the α = 0.05 level?","Since the P-value (0.1265) is greater than α (0.05), we fail to reject the null hypothesis. We do *not* have convincing evidence that less than 75% of students at the school completed their math homework.","Statistics (Hypothesis Tests)",300,"Easy"
"**Attitudes (Conclusion):** Refer to questions 4 and 10. What conclusion would you make at the α = 0.05 level?","Since the P-value (0.0101) is less than α (0.05), we reject the null hypothesis. We *do* have convincing evidence that the mean SSHA score for older students at this college is greater than 115.","Statistics (Hypothesis Tests)",300,"Easy"
"**How Much Juice? (Conclusion):** Refer to questions 3 and 11. a. What conclusion would you make at the α = 0.10 level? b. Would your conclusion change if α = 0.05 were used instead? Explain.","a. At α = 0.10, since the P-value (0.0589) is less than α, we reject the null hypothesis. We have convincing evidence that the true mean amount of liquid dispensed is different from 180 ml. b. Yes, the conclusion would change. At α = 0.05, since the P-value (0.0589) is *greater* than α, we would *fail to reject* the null hypothesis. We would not have convincing evidence of a difference.","Statistics (Hypothesis Tests)",480,"Medium"
"**Don't Argue (Conclusion):** Refer to questions 2 and 12. a. What conclusion would you make at the α = 0.01 level? b. Would your conclusion change if α = 0.05 were used instead? Explain.","a. At α = 0.01, since the P-value (0.0291) is greater than α, we fail to reject the null hypothesis. We do *not* have convincing evidence that the proportion of students at Yvonne's school who rarely/never argue differs from 0.72. b. Yes, the conclusion would change. At α = 0.05, since the P-value (0.0291) is *less* than α, we would *reject* the null hypothesis. We would have convincing evidence of a difference.","Statistics (Hypothesis Tests)",480,"Medium"
"**Making Conclusions (Error Correction):** A student tests H0: p = 0.75 vs. Ha: p < 0.75 at α = 0.05 and gets P-value = 0.22. The student writes: 'Because the P-value is large, we accept H0. The data provide convincing evidence that the null hypothesis is true.' Explain the error.","We never 'accept' the null hypothesis.  A large P-value means we *fail to reject* it.  Failing to reject H0 does *not* mean we have evidence *for* H0; it simply means we don't have enough evidence *against* it.","Statistics (Hypothesis Tests)",480,"Medium"
"**Making Conclusions (Error Correction) - II:** A student tests H0: μ = 12 vs. Ha: μ ≠ 12 at α = 0.05 and gets P-value = 0.01. The student writes: 'Because the P-value is small, we reject H0. The data prove that Ha is true.' Explain the error.","Rejecting H0 provides convincing evidence *in favor of* the alternative hypothesis (Ha), but it does *not* 'prove' Ha is true. Statistical tests deal with probabilities and evidence, not absolute proof.","Statistics (Hypothesis Tests)",480,"Medium"
"**Heavy Bread?** The bakery's bread should weigh 1 pound. You suspect new employees are making loaves that are too light. You weigh an SRS of loaves and find a mean weight of 0.975 pounds. a. State appropriate hypotheses, defining the parameter. b. Explain why there is *some* evidence for Ha. c. The P-value is 0.0806. Interpret the P-value. d. What conclusion would you make at α = 0.01?","a. H0: μ = 1, Ha: μ < 1, where μ is the true mean weight (in pounds) of all loaves of bread produced at the bakery. b. The sample mean (0.975 pounds) is *less than* the hypothesized mean (1 pound), which provides some evidence that the true mean might be less than 1 pound. c. The P-value of 0.0806 means that if the true mean weight were 1 pound, there's a 0.0806 probability of getting a sample mean of 0.975 pounds *or less* purely by chance. d. At α = 0.01, since the P-value (0.0806) is greater than α, we fail to reject the null hypothesis. We do *not* have convincing evidence that the loaves are, on average, too light.","Statistics (Hypothesis Tests)",1200,"Medium"
"**Philly Fanatics?** Nationally, 12% of cars are red. A Phillies fan wonders if Phillies fans are more likely to drive red cars. They take a random sample of 210 cars parked at a game and find 35 red cars. a. State appropriate hypotheses, defining the parameter. b. Explain why there's *some* evidence for Ha. c. The P-value is 0.0187. Interpret it. d. What conclusion at α = 0.05?","a. H0: p = 0.12, Ha: p > 0.12, where p is the true proportion of *all* cars parked at Phillies games that are red. b. The sample proportion of red cars (35/210 ≈ 0.167) is *greater than* the national proportion (0.12), providing some evidence that Phillies fans might be more likely to drive red cars. c. The P-value of 0.0187 means that if the true proportion of red cars at Phillies games was 0.12, there's a 0.0187 probability of getting a sample proportion of 0.167 *or greater* purely by chance. d. At α = 0.05, since the P-value (0.0187) is less than α, we reject the null hypothesis. We *do* have convincing evidence that Phillies fans are more likely to drive red cars than the general population.","Statistics (Hypothesis Tests)",1200,"Medium"
"**Opening a Restaurant (Errors):** You're considering opening a restaurant. You need the mean income of those living nearby to be over $85,000. You sample 50 people and test H0: μ = $85,000 vs. Ha: μ > $85,000, where μ is the true mean income. Describe a Type I and Type II error, and give a consequence of each.","Type I error: Concluding that the true mean income is *greater than* $85,000, when in reality it is *not*. Consequence: You open the restaurant, but it fails due to insufficient customer income. Type II error: Concluding that the true mean income is *not greater than* $85,000, when in reality it *is*. Consequence: You don't open the restaurant, missing a potentially profitable opportunity.","Statistics (Type I and Type II Errors)",600,"Medium"
"**Home Computers (Conditions):** Jason believes fewer than 80% of students at his high school have home computers. He surveys an SRS of 60 students, finding 41 have computers. He wants to test H0: p = 0.80 vs. Ha: p < 0.80 at α = 0.05. Check the conditions for performing the significance test.","Random: Stated as an SRS. 10%: 60 students is likely less than 10% of all students at a *large* rural high school. Large Counts:  n*p0 = 60(0.80) = 48 ≥ 10 and n(1-p0) = 60(0.20) = 12 ≥ 10.  All conditions are met.","Statistics (Hypothesis Tests)",480,"Medium"
"**Walking to School (Conditions):** DeAnna thinks *more than* 13% of students at her elementary school walk to school. She surveys a random sample of 100 students; 17 walk. She wants to test H0: p = 0.13 vs. Ha: p > 0.13 at α = 0.05. Check conditions.","Random: Stated as a random sample. 10%: 100 students is likely less than 10% of all students at a *large* elementary school. Large Counts: n*p0 = 100(0.13) = 13 ≥ 10 and n(1-p0) = 100(0.87) = 87 ≥ 10. All conditions are met.","Statistics (Hypothesis Tests)",480,"Medium"
"**Fair Coin? (Conditions):** You want to determine if a coin is fair. You toss it 10 times and want to test H0: p = 0.5 vs. Ha: p ≠ 0.5, where p is the proportion of all tosses that would land heads. Check the conditions.","Random: We can treat the 10 tosses as a random sample of *all possible* tosses of the coin. 10%: Not applicable, as we are not sampling without replacement from a finite population. Large Counts: n*p0 = 10(0.5) = 5 < 10 and n(1-p0) = 10(0.5) = 5 < 10. The Large Counts condition is *not* met. A significance test using the normal approximation is not appropriate here.","Statistics (Hypothesis Tests)",480,"Medium"
"**Fire the Coach! (Conditions):** A college president claims > 2/3 of alumni support firing the coach. This is based on 200 emails. The athletic director wants to test H0: p = 2/3 vs. Ha: p > 2/3. Check conditions.","Random: The 200 emails are *not* a random sample of all alumni. This is a convenience sample (or possibly a voluntary response sample). Because the Random condition is not met, the results of a significance test would not be valid.","Statistics (Hypothesis Tests)",480,"Medium"
"**Home Computers (Test Statistic and P-value):** Refer to question 35. a. Explain why the sample result gives *some* evidence for Ha. b. Calculate the standardized test statistic and P-value. c. What conclusion would you make?","a. The sample proportion, p̂ = 41/60 ≈ 0.683, is *less than* the hypothesized proportion of 0.80, providing some evidence that the true proportion might be less than 0.80. b. Test statistic: z = (0.683 - 0.80) / sqrt((0.80 * 0.20) / 60) ≈ -2.26. P-value:  P(Z < -2.26) ≈ 0.0119 (using a z-table or calculator). c. Since the P-value (0.0119) is less than α (0.05), we reject the null hypothesis. We have convincing evidence that the proportion of students at Jason's school with a home computer is less than 0.80.","Statistics (Hypothesis Tests)",720,"Medium"
"**Walking to School (Test Statistic and P-value):** Refer to question 36. a. Explain why the sample result gives *some* evidence for Ha. b. Calculate the standardized test statistic and P-value. c. What conclusion?","a. The sample proportion, p̂ = 17/100 = 0.17, is *greater than* the hypothesized proportion of 0.13, which provides some evidence that the true proportion might be greater than 0.13. b. Test statistic: z = (0.17 - 0.13) / sqrt((0.13 * 0.87) / 100) ≈ 1.19. P-value: P(Z > 1.19) ≈ 0.1170 (using a z-table or calculator). c. Since the P-value (0.1170) is greater than α (0.05), we fail to reject the null hypothesis. We *do not* have convincing evidence that the proportion of students at DeAnna's school who walk to school is greater than 0.13.","Statistics (Hypothesis Tests)",720,"Medium"
"**Significance Tests (P-value and Conclusion):** A test of H0: p = 0.5 vs. Ha: p > 0.5, with n = 200, yields z = 2.19. a. Find and interpret the P-value. b. Conclusion at α = 0.01? At α = 0.05? c. Find p̂.","a. P-value = P(Z > 2.19) ≈ 0.0143 (using a z-table or calculator).  If the true proportion were 0.5, there's a 0.0143 probability of observing a sample proportion as large as or larger than the one we got, purely by chance. b. At α = 0.01, we fail to reject H0 (P-value > α). At α = 0.05, we reject H0 (P-value < α). c.  2.19 = (p̂ - 0.5) / sqrt((0.5*0.5)/200).  Solving for p̂, we get p̂ ≈ 0.577.","Statistics (Hypothesis Tests)",720,"Medium"
"**Significance Tests (P-value and Conclusion) - II:** A test of H0: p = 0.65 vs. Ha: p < 0.65, with n = 400, yields z = -1.78. a. Find and interpret the P-value. b. Conclusion at α = 0.10? At α = 0.05? c. Find p̂.","a. P-value = P(Z < -1.78) ≈ 0.0375. If the true proportion were 0.65, there's a 0.0375 probability of observing a sample proportion as small as or smaller than the one we got, purely by chance. b. At α = 0.10, we reject H0 (P-value < α). At α = 0.05, we reject H0 (P-value < α). c. -1.78 = (p̂ - 0.65) / sqrt((0.65 * 0.35) / 400). Solving for p̂, we get p̂ ≈ 0.608.","Statistics (Hypothesis Tests)",720,"Medium"
"**Bullies in Middle School:** A media report claims > 75% of middle school students engage in bullying. A study surveys a random sample of 558 students; 445 admit to bullying behavior. Do these data provide convincing evidence at α = 0.05 that the claim is correct?","H0: p = 0.75, Ha: p > 0.75, where p is the true proportion of *all* middle school students who engage in bullying behavior. p̂ = 445/558 ≈ 0.797.  z = (0.797 - 0.75) / sqrt((0.75 * 0.25) / 558) ≈ 2.58. P-value = P(Z > 2.58) ≈ 0.0049. Since the P-value (0.0049) is less than α (0.05), we reject the null hypothesis. We *have* convincing evidence that more than 75% of middle school students engage in bullying behavior.","Statistics (Hypothesis Tests)",900,"Medium"
"**Watching Grass Grow:** A grass seed variety usually has a germination rate of 0.80. Researchers spray a random sample of 400 seeds with a chemical; 339 germinate. Is there convincing evidence at α = 0.05 that the chemical is effective?","H0: p = 0.80, Ha: p > 0.80, where p is the true proportion of seeds of this variety that germinate when treated with the chemical. p̂ = 339/400 = 0.8475. z = (0.8475 - 0.80) / sqrt((0.80 * 0.20) / 400) ≈ 2.37. P-value = P(Z > 2.37) ≈ 0.0089. Since the P-value (0.0089) is less than α (0.05), we reject the null hypothesis. We *have* convincing evidence that the chemical increases the germination rate.","Statistics (Hypothesis Tests)",900,"Medium"
"**Better Parking (Errors and Test):** A high school changes its parking; before, 37% approved. After, a principal surveys an SRS of 200 students; 83 approve. The principal claims this proves the change was effective. a. Describe Type I and Type II errors, and consequences. b. Is there convincing evidence for the principal's claim?","a. Type I error: Concluding that the proportion of students who approve of parking *has increased*, when in reality it has *not*. Consequence: The school might continue with the new parking arrangement, even though it's not actually an improvement. Type II error: Concluding that the proportion who approve *has not increased*, when in reality it *has*. Consequence: The school might revert to the old parking arrangement, even though the new one is better. b. H0: p = 0.37, Ha: p > 0.37. p̂ = 83/200 = 0.415.  z = (0.415 - 0.37) / sqrt((0.37 * 0.63) / 200) ≈ 1.32. P-value = P(Z > 1.32) ≈ 0.0934.  Since the P-value (0.0934) is greater than α = 0.05 (we weren't given alpha, using .05), we fail to reject the null hypothesis. We *do not* have convincing evidence that the change was effective.","Statistics (Hypothesis Tests, Type I and Type II Errors)",1200,"Hard"
"**Side Effects (Errors and Test):** A drug manufacturer claims < 10% of patients taking a new Alzheimer's drug will experience nausea. In a random sample of 300 patients, 25 experience nausea. a. Describe Type I and Type II errors, and consequences. b. Is there convincing evidence for the claim?","a. Type I error: Concluding that *less than* 10% will experience nausea, when in reality 10% or more will. Consequence: The drug is marketed, and more patients than expected experience nausea. Type II error: Concluding that it's *not* the case that less than 10% will experience nausea, when in reality less than 10% will. Consequence: The drug might not be marketed, even though it's relatively safe regarding nausea. b. H0: p = 0.10, Ha: p < 0.10. p̂ = 25/300 ≈ 0.0833. z = (0.0833 - 0.10) / sqrt((0.10 * 0.90) / 300) ≈ -0.96. P-value = P(Z < -0.96) ≈ 0.1685. Since the P-value (0.1685) is greater than α = 0.05 (assuming), we fail to reject the null hypothesis. We *do not* have convincing evidence that less than 10% will experience nausea.","Statistics (Hypothesis Tests, Type I and Type II Errors)",1200,"Hard"
"**Cell-Phone Passwords:** A consumer organization suspects < 50% of parents know their child's cell-phone password. A survey of 1060 randomly selected parents finds 551 know the password. Explain why a significance test isn't necessary.","The sample proportion, p̂ = 551/1060 ≈ 0.520, is *greater than* 0.50. Since the sample proportion itself already contradicts the suspicion (that less than half know the password), there's no need for a formal significance test. The data *don't* support the claim, even without a test.","Statistics (Hypothesis Tests)",300,"Easy"
"**Proposition X:** An organization wants to see if a majority of city voters favor Proposition X. An SRS of 1000 voters finds 482 in favor. Explain why a significance test isn't necessary.","The sample proportion, p̂ = 482/1000 = 0.482, is *less than* 0.50. Since the sample proportion itself indicates that a majority does *not* favor the proposition, there's no need for a formal significance test to determine if there's evidence of a majority.","Statistics (Hypothesis Tests)",300,"Easy"
"**Mendel and the Peas:** Mendel predicted a 3:1 ratio of smooth to wrinkled peas (75% smooth). In an experiment, he observed 423 smooth and 133 wrinkled peas. a. State hypotheses. b. Calculate the test statistic and P-value. c. Interpret the P-value and make a conclusion.","a. H0: p = 0.75, Ha: p ≠ 0.75, where p is the true proportion of smooth peas produced by this type of plant. b. p̂ = 423 / (423+133) ≈ 0.761.  z = (0.761 - 0.75) / sqrt((0.75 * 0.25) / 556) ≈ 0.60. P-value = 2 * P(Z > 0.60) ≈ 2 * 0.2743 = 0.5486. c. If the true proportion of smooth peas were 0.75, there's a 0.5486 probability of observing a sample proportion as far from 0.75 (in either direction) as 0.761, purely by chance. We fail to reject H0; we don't have evidence against Mendel's prediction.","Statistics (Hypothesis Tests)",900,"Medium"
"**Spinning Heads?:** A Belgian euro coin is spun 250 times, landing heads 140 times. Professors claim it's asymmetric; the mint says it's chance. a. State hypotheses. b. Calculate the test statistic and P-value. c. Interpret the P-value and make a conclusion.","a. H0: p = 0.50, Ha: p ≠ 0.50, where p is the true proportion of times this coin would land heads when spun. b. p̂ = 140/250 = 0.56. z = (0.56 - 0.50) / sqrt((0.50 * 0.50) / 250) ≈ 1.90.  P-value = 2 * P(Z > 1.90) ≈ 2 * 0.0287 = 0.0574. c. If the coin were fair (p=0.50), there's a 0.0574 probability of observing a sample proportion as far from 0.50 (in either direction) as 0.56, purely by chance. At α = 0.05, we fail to reject H0; we don't have quite enough evidence to say the coin is asymmetric.","Statistics (Hypothesis Tests)",900,"Medium"
"**Attitudes (SSHA) - Conditions:** A teacher suspects older students have better attitudes (higher SSHA scores, range 0-200, mean 115). She gives the SSHA to an SRS of 45 students aged 30+. She wants to test H0: μ = 115 vs. Ha: μ > 115 at α = 0.05. Check the conditions for performing the test.","Random: Stated as an SRS. 10%: 45 students is less than 10% of the over 1000 students at the college who are at least 30. Normal/Large Sample: n = 45, which is greater than 30, so the Central Limit Theorem applies. The conditions are met.","Statistics (Hypothesis Tests)",480,"Medium"
"**Candy! (Conditions):** A machine should fill candy bags with an average of 19.2 ounces.  A manager suspects the machine isn't working correctly and plans to test H0: μ = 19.2 vs. Ha: μ ≠ 19.2 at α = 0.10, taking a random sample of 75 bags. Check the conditions.","Random: Stated as a random sample. 10%: 75 bags is surely less than 10% of *all* bags filled that day. Normal/Large Sample: n = 75, which is much greater than 30. The Central Limit Theorem applies, so the conditions are met.","Statistics (Hypothesis Tests)",480,"Medium"
"**Battery Life (Hypotheses and Conditions):** A tablet manufacturer claims batteries last 10.5 hours (average) playing videos.  Quality control randomly selects 20 tablets daily and tests them. They'll discard batteries if there's convincing evidence the mean life is *less than* 10.5 hours. Data from one day: n=20, mean=11.07, SD=1.097, min=10, Q1=10.3, med=10.6, Q3=11.85, max=13.9. Dotplot provided (but not to me!).  a. State hypotheses, defining the parameter. b. Check conditions.","a. H0: μ = 10.5, Ha: μ < 10.5, where μ is the true *mean* battery life (in hours) for all tablets produced that day. b. Random: Stated as a random sample. 10%: 20 tablets is likely less than 10% of all tablets produced that day. Normal/Large Sample: n = 20, which is less than 30.  However, the dotplot is described as showing no strong skewness or outliers and n=20.","Statistics (Hypothesis Tests)",720,"Medium"
"**Paying High Prices? (Hypotheses and Conditions):** A retailer has an agreement for competitive prices. An audit samples 25 invoices, recording the percentage of purchases where an alternative supplier offered a lower price. Data: n=25, mean=77.76, SD=32.6768, min=0, Q1=68, med=100, Q3=100, max=100. Histogram provided (not to me). The retailer wants to test if the mean percentage is > 50%. a. State hypotheses. b. Check conditions.","a. H0: μ = 50, Ha: μ > 50, where μ is the true mean percentage of purchases on *all* invoices for which an alternative supplier offered a lower price. b. Random: Stated as a random sample. 10%: 25 invoices is likely less than 10% of all the company's invoices. Normal/Large Sample: n = 25, less than 30. The histogram is described, and shows a non-normal distribution. Therefore all conditions are *not* met.","Statistics (Hypothesis Tests)",720,"Medium"
"**Two-Sided Test (Evidence and P-value):** You want to test H0: μ = 64 vs. Ha: μ ≠ 64 at α = 0.05. A random sample of size n = 25 yields x̄ = 62.8 and s = 5.36. Assume conditions are met. a. Explain why the sample result gives *some* evidence for Ha. b. Calculate the test statistic and P-value.","a. The sample mean (62.8) is *different from* the hypothesized mean (64), providing some evidence that the true mean might not be 64. b. Test statistic: t = (62.8 - 64) / (5.36 / sqrt(25)) ≈ -1.12. df = 24. P-value: 2 * P(T < -1.12) ≈ 2 * 0.1367 = 0.2734 (using t-table or calculator).","Statistics (Hypothesis Tests)",600,"Medium"
"**One-Sided Test (Evidence and P-value):** You want to test H0: μ = 5 vs. Ha: μ < 5 at α = 0.05. A random sample of size n = 20 yields x̄ = 4.7 and s = 0.74. Assume conditions are met. a. Explain why the sample result gives *some* evidence for Ha. b. Calculate the test statistic and P-value.","a. The sample mean (4.7) is *less than* the hypothesized mean (5), which provides some evidence that the true mean might be less than 5. b. Test statistic: t = (4.7 - 5) / (0.74 / sqrt(20)) ≈ -1.81. df = 19. P-value: P(T < -1.81) ≈ 0.043 (using a t-table or calculator).","Statistics (Hypothesis Tests)",600,"Medium"
"**Attitudes (Test Statistic, P-value, Conclusion):** Refer to question 65. The sample mean SSHA score was 125.7, and the sample standard deviation was 29.8. a. Calculate the test statistic. b. Find and interpret the P-value. c. What conclusion would you make?","a. Test statistic: t = (125.7 - 115) / (29.8 / sqrt(45)) ≈ 2.41. b. df = 44. P-value: P(T > 2.41) ≈ 0.0097 (using a t-table or calculator, using df=40 as conservative value). If the true mean SSHA score for older students were 115, there's a 0.0097 probability of getting a sample mean of 125.7 or greater, purely by chance. c. Since the P-value (0.0097) is less than α (0.05), we reject the null hypothesis. We have convincing evidence that the mean SSHA score for older students at this college is greater than 115.","Statistics (Hypothesis Tests)",720,"Medium"
